,Date,AdjClose,MvgAvgShort,MvgAvgLong,MACD,MACDMvgAvg9,MACDTrigger
0,2000-12-12,26.66,,,,,
1,2000-12-13,25.68,,,,,
2,2000-12-14,24.65,,,,,
3,2000-12-15,24.4,,,,,
4,2000-12-18,25.34,,,,,
5,2000-12-19,24.91,,,,,
6,2000-12-20,24.63,,,,,
7,2000-12-21,24.72,,,,,
8,2000-12-22,24.97,,,,,
9,2000-12-26,25.42,,,,,
10,2000-12-27,26.45,,,,,
11,2000-12-28,26.99,25.4017,,,,
12,2000-12-29,26.99,25.4292,,,,
13,2001-01-02,26.13,25.4667,,,,
14,2001-01-03,26.0,25.5792,,,,
15,2001-01-04,24.72,25.6058,,,,
16,2001-01-05,24.97,25.575,,,,
17,2001-01-08,25.83,25.6517,,,,
18,2001-01-09,26.02,25.7675,,,,
19,2001-01-10,25.96,25.8708,,,,
20,2001-01-11,26.54,26.0017,,,,
21,2001-01-12,26.26,26.0717,,,,
22,2001-01-16,26.56,26.0808,,,,
23,2001-01-17,25.64,25.9683,,,,
24,2001-01-18,24.95,25.7983,,,,
25,2001-01-19,24.91,25.6967,25.6269,,,
26,2001-01-22,24.78,25.595,25.5546,0.0404,,1.0
27,2001-01-23,25.25,25.6392,25.5381,0.1011,,1.0
28,2001-01-24,25.57,25.6892,25.5735,0.1157,,1.0
29,2001-01-25,25.51,25.6625,25.6162,0.0463,,1.0
30,2001-01-26,24.87,25.5667,25.5981,-0.0314,,0.0
31,2001-01-29,24.44,25.44,25.58,-0.14,,0.0
32,2001-01-30,25.23,25.3308,25.6031,-0.2723,,0.0
33,2001-01-31,26.02,25.3108,25.6531,-0.3423,,0.0
34,2001-02-01,25.2,25.1975,25.6619,-0.4644,-0.1052,0.0
35,2001-02-02,24.86,25.1325,25.6404,-0.5079,-0.1661,0.0
36,2001-02-05,25.92,25.2133,25.62,-0.4067,-0.2226,0.0
37,2001-02-06,25.68,25.2775,25.5696,-0.2921,-0.2679,0.0
38,2001-02-07,25.87,25.3683,25.5265,-0.1582,-0.2906,0.0
39,2001-02-08,25.86,25.4192,25.5162,-0.097,-0.2979,0.0
40,2001-02-09,24.56,25.335,25.4608,-0.1258,-0.2963,0.0
41,2001-02-12,24.4,25.2425,25.4485,-0.206,-0.2889,0.0
42,2001-02-13,24.0,25.17,25.4112,-0.2412,-0.2777,0.0
43,2001-02-14,24.34,25.1617,25.3538,-0.1921,-0.2474,0.0
44,2001-02-15,25.09,25.15,25.3181,-0.1681,-0.2097,0.0
45,2001-02-16,23.91,24.9742,25.2392,-0.265,-0.1939,0.0
46,2001-02-20,23.16,24.8042,25.1092,-0.305,-0.1954,0.0
47,2001-02-21,23.07,24.655,24.9865,-0.3315,-0.2146,0.0
48,2001-02-22,22.85,24.3992,24.8438,-0.4446,-0.2533,0.0
49,2001-02-23,22.4,24.1258,24.7192,-0.5934,-0.3052,0.0
50,2001-02-26,23.21,23.9042,24.6523,-0.7481,-0.3654,0.0
51,2001-02-27,23.34,23.6942,24.5919,-0.8977,-0.4384,0.0
52,2001-02-28,23.03,23.5667,24.5246,-0.9579,-0.5235,0.0
53,2001-03-01,22.69,23.4242,24.4262,-1.002,-0.6161,0.0
54,2001-03-02,22.83,23.3267,24.3208,-0.9941,-0.6971,0.0
55,2001-03-05,23.27,23.2375,24.2346,-0.9971,-0.774,0.0
56,2001-03-06,23.71,23.1225,24.19,-1.0675,-0.8558,0.0
57,2001-03-07,23.14,23.0583,24.14,-1.0817,-0.9266,0.0
58,2001-03-08,23.38,23.0767,24.0688,-0.9921,-0.9709,0.0
59,2001-03-09,24.03,23.1567,23.9923,-0.8356,-0.9806,0.0
60,2001-03-12,24.16,23.2658,23.9523,-0.6865,-0.9572,0.0
61,2001-03-13,23.8,23.3825,23.9115,-0.529,-0.9095,0.0
62,2001-03-14,22.83,23.3508,23.7927,-0.4419,-0.8473,0.0
63,2001-03-15,23.06,23.3275,23.6919,-0.3644,-0.7773,0.0
64,2001-03-16,21.27,23.1808,23.515,-0.3342,-0.7037,0.0
65,2001-03-19,22.21,23.1408,23.3746,-0.2338,-0.611,0.0
66,2001-03-20,21.92,23.065,23.2731,-0.2081,-0.514,0.0
67,2001-03-21,20.59,22.8417,23.1265,-0.2848,-0.4354,0.0
68,2001-03-22,20.65,22.5867,22.9977,-0.411,-0.3882,0.0
69,2001-03-23,20.65,22.3792,22.8558,-0.4766,-0.3649,0.0
70,2001-03-26,21.95,22.26,22.735,-0.475,-0.3589,0.0
71,2001-03-27,21.88,22.0808,22.6569,-0.5761,-0.3738,0.0
72,2001-03-28,21.0,21.8175,22.5738,-0.7563,-0.4173,0.0
73,2001-03-29,20.82,21.5692,22.4873,-0.9181,-0.4822,0.0
74,2001-03-30,21.35,21.4458,22.4296,-0.9838,-0.5655,0.0
75,2001-04-02,21.21,21.2917,22.3838,-1.0921,-0.6638,0.0
76,2001-04-03,20.66,21.2408,22.2858,-1.045,-0.7482,0.0
77,2001-04-04,20.69,21.1142,22.1838,-1.0696,-0.8214,0.0
78,2001-04-05,21.67,21.0933,22.1315,-1.0382,-0.8838,0.0
79,2001-04-06,21.09,21.135,22.07,-0.935,-0.9349,0.0
80,2001-04-09,21.41,21.1983,22.0154,-0.8171,-0.9617,0.0
81,2001-04-10,21.92,21.3042,21.9635,-0.6593,-0.9509,0.0
82,2001-04-11,21.77,21.2892,21.8888,-0.5996,-0.9155,0.0
83,2001-04-12,22.38,21.3308,21.8596,-0.5288,-0.865,0.0
84,2001-04-16,22.28,21.4375,21.8173,-0.3798,-0.7858,0.0
85,2001-04-17,22.05,21.54,21.7412,-0.2012,-0.6921,0.0
86,2001-04-18,23.03,21.68,21.6977,-0.0177,-0.5752,0.0
87,2001-04-19,22.69,21.8033,21.655,0.1483,-0.4434,1.0
88,2001-04-20,22.5,21.9567,21.6423,0.3144,-0.3045,1.0
89,2001-04-23,22.28,22.0892,21.6123,0.4769,-0.1608,1.0
90,2001-04-24,21.77,22.0975,21.6315,0.466,-0.0357,1.0
91,2001-04-25,22.33,22.2008,21.6362,0.5646,0.0936,1.0
92,2001-04-26,22.55,22.2958,21.6604,0.6354,0.223,1.0
93,2001-04-27,23.12,22.3958,21.7577,0.6381,0.3361,1.0
94,2001-04-30,22.95,22.4942,21.8462,0.648,0.4304,1.0
95,2001-05-01,22.73,22.5233,21.9262,0.5971,0.4988,1.0
96,2001-05-02,22.41,22.5342,21.9438,0.5904,0.5479,1.0
97,2001-05-03,22.2,22.5467,21.9562,0.5905,0.5786,1.0
98,2001-05-04,22.65,22.515,22.0196,0.4954,0.5806,1.0
99,2001-05-07,22.71,22.5167,22.0923,0.4244,0.576,1.0
100,2001-05-08,22.62,22.5267,22.1412,0.3855,0.5561,1.0
101,2001-05-09,22.46,22.5417,22.1892,0.3525,0.5247,1.0
102,2001-05-10,22.74,22.6225,22.2692,0.3533,0.493,1.0
103,2001-05-11,22.38,22.6267,22.3342,0.2925,0.4535,1.0
104,2001-05-14,22.44,22.6175,22.3638,0.2537,0.4154,1.0
105,2001-05-15,22.68,22.5808,22.425,0.1558,0.3671,1.0
106,2001-05-16,23.38,22.6167,22.5008,0.1159,0.3143,1.0
107,2001-05-17,23.92,22.7158,22.5777,0.1381,0.2746,1.0
108,2001-05-18,23.96,22.845,22.6619,0.1831,0.2478,1.0
109,2001-05-21,24.8,23.0617,22.755,0.3067,0.2391,1.0
110,2001-05-22,24.62,23.2258,22.845,0.3808,0.2422,1.0
111,2001-05-23,24.12,23.3433,22.9246,0.4187,0.2495,1.0
112,2001-05-24,24.45,23.4958,22.9792,0.5166,0.2744,1.0
113,2001-05-25,24.01,23.625,23.03,0.595,0.3123,1.0
114,2001-05-29,23.89,23.7208,23.0835,0.6373,0.3658,1.0
115,2001-05-30,23.21,23.79,23.1192,0.6708,0.4275,1.0
116,2001-05-31,23.45,23.8742,23.1838,0.6904,0.4888,1.0
117,2001-06-01,23.44,23.9375,23.2265,0.711,0.5475,1.0
118,2001-06-04,23.41,23.94,23.2596,0.6804,0.589,1.0
119,2001-06-05,23.79,23.9292,23.2854,0.6438,0.6182,1.0
120,2001-06-06,23.66,23.9042,23.3127,0.5915,0.6374,1.0
121,2001-06-07,23.6,23.8042,23.3462,0.458,0.6309,1.0
122,2001-06-08,23.23,23.6883,23.3777,0.3106,0.5993,1.0
123,2001-06-11,22.96,23.5917,23.4069,0.1848,0.549,1.0
124,2001-06-12,23.21,23.4883,23.4285,0.0598,0.4811,1.0
125,2001-06-13,23.01,23.405,23.44,-0.035,0.4005,0.0
126,2001-06-14,22.53,23.2917,23.4365,-0.1448,0.3055,0.0
127,2001-06-15,22.45,23.2283,23.4362,-0.2079,0.2068,0.0
128,2001-06-18,22.07,23.1133,23.4104,-0.2971,0.1022,0.0
129,2001-06-19,21.93,22.9875,23.3931,-0.4056,-0.0086,0.0
130,2001-06-20,21.59,22.8358,23.3604,-0.5246,-0.1178,0.0
131,2001-06-21,22.11,22.6958,23.3385,-0.6427,-0.2237,0.0
132,2001-06-22,21.98,22.5558,23.2846,-0.7288,-0.3252,0.0
133,2001-06-25,21.58,22.3875,23.1946,-0.8071,-0.4215,0.0
134,2001-06-26,21.79,22.2675,23.1112,-0.8437,-0.5114,0.0
135,2001-06-27,21.47,22.1433,22.9831,-0.8398,-0.5886,0.0
136,2001-06-28,21.35,21.9883,22.8573,-0.869,-0.662,0.0
137,2001-06-29,20.95,21.8167,22.7354,-0.9187,-0.7311,0.0
138,2001-07-02,21.3,21.7142,22.6142,-0.9,-0.786,0.0
139,2001-07-03,21.38,21.625,22.5131,-0.8881,-0.8264,0.0
140,2001-07-05,21.83,21.605,22.4338,-0.8288,-0.8471,0.0
141,2001-07-06,21.1,21.5358,22.3527,-0.8169,-0.8569,0.0
142,2001-07-09,20.88,21.4767,22.2538,-0.7771,-0.8536,0.0
143,2001-07-10,21.27,21.4067,22.1704,-0.7637,-0.8447,0.0
144,2001-07-11,18.33,21.1025,21.975,-0.8725,-0.8483,0.0
145,2001-07-12,19.02,20.8892,21.7915,-0.9023,-0.852,0.0
146,2001-07-13,19.51,20.6992,21.6319,-0.9327,-0.8536,0.0
147,2001-07-16,19.59,20.5425,21.4777,-0.9352,-0.8575,0.0
